Code,Name,Customer Type,Bank Name,Bank Account Number,Sales Account,Tin,Term,Street,City,Province,Country,Zip Code,Mobile,Landline,Fax,Email,Website,Contact Person,Contact Role,Status
 R4_57,TAGKAWAYAN DIAGNOSTIC LABORATORY,Free Standing Laboratory,,,Accounts Receivable,0,30,"Eleazar St., Brgy. Poblacion, Tagkawayan, Quezon",,,,,0961 467 8524,,,tagkawayanlaboratory@gmail.com,,,,Active
 R4_58,TAYABAS ANALYST DIAGNOSTIC LABORATORY,Free Standing Laboratory,,,Accounts Receivable,131471340000,30,2 P SILANG ST BRGY SAN ROQUE ZONE 2 TAYABAS QUEZON,,,,,"0928-355-8050
042-793-2216 local 208",,,"tchi_csr@yahoo.com
atchi598@gmail.com",,,,Active
 R4_59,TAYABAS COMMUNITY HOSPITAL INC.,Government Hospital,,,Accounts Receivable,640590000,30,NATIONAL ROAD BRGY WAKAS TAYABAS QUEZON,,,,,,,,,,,,Active
 R4_60,THE GENERICS PHARMACY - TAGKAWAYAN,Dealer /  Distributor,,,Accounts Receivable,0,30,"TAGKAWAYAN, QUEZON",,,,,0943-464-7648,,,tiffanyjayde2021@gmail.com,,Ms. Cherry,,Active
 R4_61,TRIPTORS DIAGNOSTIC CENTRE,Free Standing Laboratory,,,Accounts Receivable,126816993000,30,"DONA AURORA BLVB COR CAPISTRANO SUBD GULANG-GULANG, LUCENA CITY",,,,,,,,rizza.cruz@triptors.org / mark.deinla@triptors.org,,,,Active
 R4_62,"UNITED CANDELARIA DOCTORS, INC.",Private Hospital,,,Accounts Receivable,6820945000,30,BRGY MANGILAG SUR CANDELARIA QUEZON,,,,,,,,,,,,Active
 R4_63,V. DELMORO GARCIA MEDICAL AND DIAGNOSTIC CLINIC,Free Standing Laboratory,,,Accounts Receivable,0,30,"22 Caliwara Street Brgy. 2 Poblacion, Alabat, Quezon",,,,,0998 735 1238,,,docvelbe@yahoo.com,,,,Active
 R4_64,5TH MEDICAL SUPPLY TRADING,Free Standing Laboratory,,,Accounts Receivable,249665378000,30,LOT 3 BLK 27 MARIGOLD ST. GREEN ESTATE MALAGASANG I-G IMUS CAVITE,,,,,,,,,,,,Active
 R4A_01,ALPHACARE MEDICAL LABORATORY,Free Standing Laboratory,,,Sales,000-000-000-00000,0,,ANGONO,RIZAL,,,,,,,,,,Active
 R5_01,1ST LAB POLYCLINIC AND DIAGNOSTICS LABORATORY,Free Standing Laboratory,,,Accounts Receivable,9363948140000,30,"SAN FRANCISCO 4419, CAMARINES SUR",,,,,9494309150,,,1stlabpolydl@gmail.com,,,,Active
 R5_02,3A'S HEALTHLAB AND ANIMAL BITE CLINIC,Free Standing Laboratory,,,Accounts Receivable,0,30,"ZONE 3, PROPER,CARAYCAYON.TIGAON. CAMARINES SUR",,,,,9171656910,,,3ashealthlab.animalbiteclinic@gmail.com,,,,Active
 R5_03,ACCESSHEALTH INC.,Private Hospital,,,Accounts Receivable,6832744000,30,"CBD II, Brgy. Triangulo, Naga City",,,,,9688515106,,,bachdisbursement2020@gmail.com,,,,Active
 R5_04,ACS MEDICAL AND DIAGNOSTIC CLINIC,Free Standing Laboratory,,,Accounts Receivable,0,30,"P-1 Batobalani Paracale Camarines Norte, Paracale",,,,,0977 213 8657,,,acsclinic2020@gmail.com,,,,Active
 R5_05,"ALBAY DIAGNOSTIC LABORATORY, INC.",Free Standing Laboratory,,,Accounts Receivable,2916526000,30,"YMCA BLDG., SAGPON, OLD ALBAY, LEGAZPI CITY",,,,,9152780255,,,albaydiagnosticlab.ad164@yahoo.com,,,,Active
 R5_06,ALBAY DOCTOR'S HOSPITAL INC.,Private Hospital,,,Accounts Receivable,5769508000,30,"Pe嚙窮randa Street, Legazpi Port District, Legazpi City 4500",,,,,9985469453,,,adh_hospital@yahoo.com,,,,Active
 R5_07,ALLIED CARE EXPERTS MEDICAL CENTER LEGAZPI INC,Private Hospital,,,Accounts Receivable,61000,30,"DARAGA-LEGAZPI DIVERSION ROAD, BOGTONG, LEGAZPI CITY",,,,,9171357907,,,,,,,Active
 R5_08,ALTADAMON IMAGING MEDICAL AND DIAGNOSTIC CLINIC,Free Standing Laboratory,,,Accounts Receivable,0,30,"Zone 3, Anayan, Pili, Camarines Sur",,,,,0960 240 7576,,,altadamonclinic1@gmail.com,,,,Active
 R5_09,ARB FAMILY DIAGNOSTIC CENTER,Free Standing Laboratory,,,Accounts Receivable,157349042000,30,"STA. ROSA, DEL NORTE, PASACAO, CAMARINES SUR",,,,,9303596829,,,badetteskybadet@yahoo.com,,,,Active
 R5_10,BICOL CARDIO VASCULAR DIAGNOSTIC COOPERATIVE,Free Standing Laboratory,,,Accounts Receivable,264888745000,30,"LOT 2 BLOCK 4, BCDC BLDG., CBD II, BRGY. TRIANGULO, NAGA CITY",,,,,9562262711,,,,,ADHEL,,Active
 R5_100,WASHINGTON MEDICAL CLINIC & DIAGNOSTIC LABORATORY,Free Standing Laboratory,,,Accounts Receivable,247450817000,30,"Brgy Cabugao, Legazpi City",,,,,,,,,,,,Active
 R5_101,ZEIDUM CLINICAL LABORATORY,Free Standing Laboratory,,,Accounts Receivable,472417450000,30,"057 LUNA ST., LUNA CANDOL, GUBAT, SORSOGON",,,,,,,,,,,,Active
 R5_102,ZONE MEDICAL AND INTERVENTION HOSPITAL INC.,Private Hospital,,,Accounts Receivable,288966885000,30,"BINATAGAN, LIGAO CITY, ALBAY",,,,,,,,,,,,Active
 R5_103,HISTOLINK MEDICAL CENTER,Free Standing Laboratory,,,Accounts Receivable,114-108-199-00000,30,PANGANIBAN DRIVE,NAGA CITY,CAMARINES SUR,,4400,,,,,,,,Active
 R5_11,BICOL MEDICAL CENTER,Government Hospital,,,Accounts Receivable,619672000,30,"BMC Rd., Concepcion Peque嚙窮, Naga City",,,,,,,,,https://bmc.doh.gov.ph/,,,Active
 R5_12,BICOL REGION GENERAL HOSPITAL & GERIATRIC MEDICAL CENTER,Government Hospital,,,Accounts Receivable,0,30,"San Pedro, Cabusao, Camarines Sur",,,,,,,,,,,,Active
 R5_13,BICOL RENAL CARE ASSOCIATES CORP.,Free Standing Laboratory,,,Accounts Receivable,0,30,"3B M Plaza, Roxas Ave., Diversion Road, Triangulo Naga City",,,,,,,,,,,,Active
 R5_14,BICOLCARE MEDICAL CLINIC AND LABORATORY,Free Standing Laboratory,,,Accounts Receivable,70000,30,"Central Business District II, Cory and, Ninoy and Cory Ave, Naga City",,,,,9636385359,,,purchasingbicolcare@gmail.com,,Ricca Mae Royales,,Active
 R5_15,BLUECROSS DIAGNOSTIC AND MEDICAL SUPPLY,Dealer /  Distributor,,,Accounts Receivable,0,30,"40 Magsaysay Ave, Naga City",,,,,,,,,,,,Active
 R5_16,BMSC MEDICAL IMAGING CENTER,Free Standing Laboratory,,,Accounts Receivable,168222500000,30,"O & E Building, Vinzon corner Florante Streets, Old Albay District, Legazpi City",,,,,,,,,,,,Active
 R5_18,CENTRAL LINK LABORATORY & HEALTH SERVICES,Free Standing Laboratory,,,Accounts Receivable,63000,30,"RIZAL ST., DARAGA, ALBAY",,,,,9065895776,,,cenlink.laboratory@yahoo.com,,Maam Tash,,Active
 R5_19,CHACON GENERAL HOSPITAL,Private Hospital,,,Accounts Receivable,435199715000,30,"3852 Rizal St, Sorsogon City",,,,,9369249293,,,chacongeneralhospital@gmail.com,,,,Active
 R5_20,CHRIST SERVANT DIAGNOSTICS,Free Standing Laboratory,,,Accounts Receivable,0,30,"COSAY BLDG., SAN VICENTE, PILI, CAMARINES SUR",,,,,,,,,,,,Active
 R5_21,CITY GOVERNMENT OF LIGAO,Government Hospital,,,Accounts Receivable,8400059000,30,"Ligao, Albay",,,,,,,,,,,,Active
 R5_22,DAET DOCTORS HOSPITAL INCORPORATED,Private Hospital,,,Accounts Receivable,717036195000,30,"Gov. Panotes Avenue, Brgy. VII, Daet, Camarines Norte",,,,,9120062840,,,businessoffice.ddhi@gmail.com,,Ms. Premie Estrada,,Active
 R5_23,DAET MEDICAL LABORATORY,Free Standing Laboratory,,,Accounts Receivable,311841275000,30,"BAGASBAS ROAD, BRGY. 5, DAET, CAMARINES NORTE",,,,,,,,daetmedlab@gmail.com,,,,Active
 R5_24,DR. AMANDO D. COPE MEMORIAL HOSPITAL INC.,Private Hospital,,,Accounts Receivable,5713821000,30,"Ruivivar St., Tayhi, Tabaco, Albay",,,,,0949 146 5891,,,cope_hospital@yahoo.com,,,,Active
 R5_26,DR. JUSTIN P. NOVELA,Medical Doctors Clinic,,,Accounts Receivable,904600948000,30,"SAN ROQUE, IRIGA CITY, CAMARINES SUR",,,,,,,,,,,,Active
 R5_27,DR. MIGUEL V. ALEGRE HOSPITAL,Private Hospital,,,Accounts Receivable,0,30,"Burgos Street, Barangay Gumamela, Labo",,,,,961 5 632 597,,,alegredrmiguel@gmail.com,,,,Active
 R5_28,DR. RUFO T. LLORIN,Medical Doctors Clinic,,,Accounts Receivable,0,30,"RAMADIA CENTRUM, ELIAS ANGELES ST., NAGA CITY",,,,,9190066937,,,,,DR. RUFO T. LLORIN,,Active
 R5_29,EJTB IMAGING AND DIAGNOSTIC CLINIC,Free Standing Laboratory,,,Accounts Receivable,937269783000,30,"956 IMPERIAL ST., SAN ISIDRO, PILI, CAMARINES SUR",,,,,9395014943,,,ejtbimagingdxclinic_17@yahoo.com,,Maricar Rita Balid / Mark Rustique,,Active
 R5_30,ESTEVEZ MEMORIAL HOSPITAL INC.,Private Hospital,,,Accounts Receivable,937799000,30,"GUEVARRA SUBD., LEGAZPI CITY",,,,,9950163556,,,emh_ine@yahoo.com,,,,Active
 R5_32,FRYDT DIAGNOSTIC LABORATORY,Free Standing Laboratory,,,Accounts Receivable,33720941700000,30,"SOUTH CENTRO, SIPOCOT, CAMARINES SUR",,,,,9451384243,,,frydtlaboratory@gmail.com,,SELAH ELENA BERINA,,Active
 R5_34,HOLYTRINITY MEDICAL LABORATORY,Free Standing Laboratory,,,Accounts Receivable,21343897200001,30,"132 San Vicente, Calabanga, Camarines Sur",,,,,0961 738 1808,,,htmedlab@gmail.com,,,,Active
 R5_35,HUMACARE LABORATORY,Free Standing Laboratory,,,Accounts Receivable,0,30,"PENAFRANCIA AVENUE, NAGA CITY",,,,,09487776653 /,,,humacaremedicaldiagnostics@gmail.com,,ilma Crisologo,,Active
 R5_36,ILABDIAGNOSTIX MEDICAL CLINIC AND LABORATORY,Free Standing Laboratory,,,Accounts Receivable,916469576000,30,"SAN NICOLAS, BAAO, CAMARINES SUR",,,,,9171525520,,,ilabdiagnostix@gmail.com,,ALDRIN PRESTINA,,Active
 R5_37,"IROSIN GENERAL HOSPITAL , INC.",Private Hospital,,,Accounts Receivable,430362676000,30,"SAN PEDRO, IROSIN, SORSOGON",,,,,0920-268-1871,,,igen.hospital@gmail.com,,Jocelyn Frejas,,Active
 R5_38,JAIME BERCES MEMORIAL HOSPITAL,Private Hospital,,,Accounts Receivable,0,30,"Karangahan Blvd., Bombon, Tabaco City",,,,,939-546-253-000,,,,,,,Active
 R5_40,JB LEGAZPI MEDICAL CLINIC & DIAGNOSTIC LABORATORY,Free Standing Laboratory,,,Accounts Receivable,168222220000,30,"G/F UI Bldg, Legazpi City",,,,,,(052) 742 2679,,jblegazpi@gmail.com,,,,Active
 R5_41,JMC LABORATORY & X-RAY CENTER,Free Standing Laboratory,,,Accounts Receivable,411403974000,30,"DABU BLDG., ELIAS ANGELES ST., SAN FRANCISCO, NAGA CITY",,,,,,,,,,,,Active
 R5_42,JOSE PANGANIBAN INFIRMARY HOSPITAL SERVICES COOPERATIVE,Government Hospital,,,Accounts Receivable,4183241000,30,"Angat Street, North Poblacion, Jose Panganiban, Camarines Norte",,,,,,,,,,,,Active
 R5_43,LABWORX DIAGNOSTIC AND HEALTH SERVICES INC,Free Standing Laboratory,,,Accounts Receivable,474209936000,30,"4/F DECA BLDG., PANGANIBAN DRIVE, NAGA CITY",,,,,0949 990 1090,,,labworxdiagnostic@gmail.com,,,,Active
 R5_44,LEON D. HERNANDEZ MEMORIAL HOSPITAL INC.,Private Hospital,,,Accounts Receivable,4183275000,30,"1328 Dasmari嚙窮s St, Daet, Camarines Norte",,,,,0915 249 5330,,,ldhmh_docs@yahoo.com.,,,,Active
 R5_45,LIBMANAN DISTRICT HOSPITAL,Government Hospital,,,Accounts Receivable,0,30,"Herrera St, Libmanan, Camarines Sur",,,,,,,,,,,,Active
 R5_46,LOCAL GOVERNMENT OF SAN FERNANDO,Research Center,,,Accounts Receivable,628886000,30,"BONIFACIO, SAN FERNANDO, CAMARINES SUR",,,,,,,,,,,,Active
 R5_47,LOCAL GOVERNMENT UNIT OF BOMBON,Research Center,,,Accounts Receivable,79000,30,"BOMBON, CAMARINES SUR",,,,,,,,,,,,Active
 R5_48,LOCAL GOVERNMENT UNIT OF BUHI,Research Center,,,Accounts Receivable,80000,30,"BUHI, CAMARINES SUR",,,,,,,,,,,,Active
 R5_49,LOCAL GOVERNMENT UNIT OF CAMALIGAN,Research Center,,,Accounts Receivable,631832000,30,"STO. DOMINGO, CAMALIGAN, CAMARINES SUR",,,,,,,,,,,,Active
 R5_50,LOCAL GOVERNMENT UNIT OF CARAMOAN,Research Center,,,Accounts Receivable,999445000,30,"CARAMOAN, CAMARINES SUR",,,,,,,,,,,,Active
 R5_51,LOCAL GOVERNMENT UNIT OF DONSOL,Research Center,,,Accounts Receivable,81000,30,"DONSOL, SORSOGON",,,,,,,,,,,,Active
 R5_52,LOCAL GOVERNMENT UNIT OF GOA,Research Center,,,Accounts Receivable,1000401000,30,"TAGONGTONG, GOA, CAMARINES SUR",,,,,,,,,,,,Active
 R5_53,LOCAL GOVERNMENT UNIT OF GUINOBATAN,Research Center,,,Accounts Receivable,77000,30,"GUINOBATAN, ALBAY",,,,,,,,,,,,Active
 R5_54,LOCAL GOVERNMENT UNIT OF LIBMANAN,Research Center,,,Accounts Receivable,631904000,30,"LIBMANAN, CAMARINES SUR",,,,,,,,,,,,Active
 R5_55,LOCAL GOVERNMENT UNIT OF PAMPLONA,Research Center,,,Accounts Receivable,631564000,30,"PAMPLONA, CAMARINES SUR",,,,,,,,,,,,Active
 R5_56,LOCAL GOVERNMENT UNIT OF PILAR,Research Center,,,Accounts Receivable,0,30,"PILAR, SORSOGON",,,,,,,,,,,,Active
 R5_57,LOCAL GOVERNMENT UNIT OF POLANGUI,Research Center,,,Accounts Receivable,0,30,"POLANGUI, ALBAY",,,,,,,,,,,,Active
 R5_58,LOCAL GOVERNMENT UNIT OF SAN JOSE,Research Center,,,Accounts Receivable,1003971000,30,"SAN JUAN, SAN JOSE, CAMARINES SUR",,,,,,,,,,,,Active
 R5_59,LOCAL GOVERNMENT UNIT OF SIPOCOT,Research Center,,,Accounts Receivable,632001000,30,"SIPOCOT, CAMARINES SUR",,,,,,,,,,,,Active
 R5_60,LOCAL GOVERNMENT UNIT OF TIGAON,Research Center,,,Accounts Receivable,1004785000,30,"TIGAON, CAMARINES SUR",,,,,,,,,,,,Active
 R5_61,LOCAL GOVERNMENT UNIT OF TINAMBAC,Research Center,,,Accounts Receivable,3738863000,30,"ZONE 2 BINALAY, TINAMBAC, CAMARINES SUR",,,,,,,,,,,,Active
 R5_62,MEDICAL MISSION GROUP HOSPITAL & HEALTH SERVICES,Free Standing Laboratory,,,Accounts Receivable,5659320000,30,"STA. ELENA, BARAS, NABUA, CAMARINES SUR",,,,,9190789916,,,mmgcamsur@yahoo.com,,maam rose,,Active
 R5_63,MEDLANE ENTEPRISES,Dealer /  Distributor,,,Accounts Receivable,0,30,"Narra St., Mariano Village, Balatas, Naga City",,,,,,,,,,,,Active
 R5_64,MEGALIFE CLINIC,Free Standing Laboratory,,,Accounts Receivable,916928615000,30,"METROBANK VILLAGE, MAGANG, DAET, CAMARINES NORTE",,,,,0948 121 0737,,,megalifeonlineph@gmail.com,,,,Active
 R5_65,METRO HEALTH LABORATORY AND MEDICAL SERVICES INC.,Free Standing Laboratory,,,Accounts Receivable,406274353000,30,"501 ALEGRE ST., BALOGO, SORSOGON CITY 4700",,,,,,,,metrohealthpostgrad@gmail.com,,,,Active
 R5_66,METRO HEALTH SPECIALISTS HOSPITAL INC.,Private Hospital,,,Accounts Receivable,462184642000,30,"Brgy. Cabid-An, East District, Sorsogon City",,,,,0919 075 0420,,,customerservices@metrohealth.ph,,,,Active
 R5_67,MIRACULOUS MEDAL HEALTH CARE CENTER,Private Hospital,,,Accounts Receivable,0,30,"TINAMBAC, CAMARINES SUR",,,,,,,,,,,,Active
 R5_68,MULTI-MED DIAGNOSTIC LABORATORY,Free Standing Laboratory,,,Accounts Receivable,949388925003,30,"SAN FRANCISCO, IRIGA CITY, CAMARINES SUR",,,,,9121702615,,,mutimeddiaglab@gmail.com,,,,Active
 R5_69,MUNICIPAL GOVERNMENT UNIT OF TIGAON,Research Center,,,Accounts Receivable,0,30,"Tigaon, Camarines Sur",,,,,,,,,,,,Active
 R5_70,NAGA CITY HOSPITAL,Government Hospital,,,Accounts Receivable,632147000,30,"Leon SA Aureus St., Batalas, Naga City",,,,,,,,,,,,Active
 R5_71,NEWLYF MEDICAL CLINIC & DIAGNOSTIC LABORATORY,Free Standing Laboratory,,,Accounts Receivable,0,30,"2388 T.Perez St. Daraga, Albay",,,,,,,,nmcdiagnosticlab62021@gmail.com,,,,Active
 R5_72,NICC DOCTORS HOSPITAL,Private Hospital,,,Accounts Receivable,0,30,"Roxas Avenue, Diversion Road, Brgy. Triangulo, Naga City",,,,,,,,info@niccdoctorshospital.com,niccdoctorshospital.com,,,Active
 R5_73,OUR LADY MEDIATRIX HOSPITAL/ Lynie I. Gonzales,Private Hospital,,,Accounts Receivable,135424647000,30,"NATIONAL HIGHWAY, SAN JOSE, IRIGA CITY, CAMARINES SUR",,,,,9943257561,,,mediatrixacctdept@yahoo.com,,JACKIE,,Active
 R5_74,OUR LADY OF LOURDES HOSPITAL,Private Hospital,,,Accounts Receivable,535009000,30,"Vinzons Avenue, Lag-On, Daet, Camarines Norte",,,,,9915642381,,,,,VIVIAN IBASCO,,Active
 R5_75,"PARTIDO MEDICAL AND DIAGNOSTIC CENTRE, INC.",Free Standing Laboratory,,,Accounts Receivable,476280592000,30,"PANDAY ST., GOA, CAMARINES SUR",,,,,9195362500,,,partidomedical@gmail.com,,BUDDY BELARO,,Active
 R5_76,RHU-CAMALIG,Research Center,,,Accounts Receivable,0,30,"Camalig, Albay",,,,,,,,,,,,Active
 R5_77,SAINT MARIA SOLEDAD TORRES FOUNDATION INCORPORATED,Private Hospital,,,Accounts Receivable,460352470000,30,"DAHAT, LAGONOY, CAMARINES SUR",,,,,9452079216,,,,,MYRA OCERA DEBIL,,Active
 R5_78,SAN JOSE MEDICARE COMMUNITY HOSPITAL,Government Hospital,,,Accounts Receivable,0,30,"SAN JOSE, CAMARINES SUR",,,,,9189153929,,,,,,,Active
 R5_79,SIPOCOT DISTRICT HOSPITAL,Government Hospital,,,Accounts Receivable,6069981000,30,"SIPOCOT, CAMARINES SUR",,,,,,,,,,,,Active
 R5_80,SMMGHHSC,Private Hospital,,,Accounts Receivable,4200753000,30,"MAHARLIKA HIGHWAY, PANGPANG, SORSOGON",,,,,9125527240,,,sorsogonmmg@yahoo.com / accountingsmmg92@yahoo.com,,,,Active
 R5_81,SORMED DIAGNOSTIC CLINIC,Free Standing Laboratory,,,Accounts Receivable,920121219000,30,"FERNANDOS MALL, RIZAL ST., PIOT, SORSOGON CITY, SORSOGON",,,,,9460749845/09186913325,,,sormeddc@gmail.com,,Cristine C. Pante,,Active
 R5_82,ST. JAMES THE APOSTLE MEDICAL & PEDIATRIC CLINIC,Free Standing Laboratory,,,Accounts Receivable,286291130000,30,"POBLACION LIBMANAN, CAMARINES SUR",,,,,0928 745 0161,,,,,,,Active
 R5_83,ST. LOUISE DIAGNOSTIC COOPERATIVE LABORATORY,Free Standing Laboratory,,,Accounts Receivable,5532114000,30,"ROOM 205 ST. LOUISE BLDG., MAYON AVENUE, NAGA CITY",,,,,9214351559,,,,,MALOU,,Active
 R5_84,ST. PEREGRINE DIAGNOSTIC LABORATORY - CALABANGA,Free Standing Laboratory,,,Accounts Receivable,404489918000,30,"UNITEL COMPOUND, SAN ANTONIO, POBLACION, CALABANGA, CAMARINES SUR",,,,,9485057839,,,slcdc@yahoo.com,,JUN MALLARI,,Active
 R5_85,ST. PIO DIAGNOSTIC LABORATORY,Free Standing Laboratory,,,Accounts Receivable,149200522000,30,"GUEVARRA ST., SAN VICENTE, PILI, CAMARINES SUR",,,,,,,,,,,,Active
 R5_86,"STA. MARIA JOSEFA HOSPITAL FOUNDATION, INC.",Private Hospital,,,Accounts Receivable,4194525000,30,"BULA, CAMARINES SUR",,,,,9095927120,,,smjhfi_iriga@yahoo.com.ph,,,,Active
 R5_87,SUPPLIMED ENTERPRISES,Dealer /  Distributor,,,Accounts Receivable,916635979000,30,"DARAGA, ALBAY",,,,,,,,,,,,Active
 R5_88,SUPRA GRADE MEDICAL SUPPLIES,Dealer /  Distributor,,,Accounts Receivable,0,30,"S. OLA ST., SAN ALFONSO HOMES, PACOL, NAGA CITY",,,,,,,,,,,,Active
 R5_89,TABACO COLLEGE HOSPITAL,Private Hospital,,,Accounts Receivable,114114954000,30,"NO. 6. TOMAS CABILES AVENUE, TABACO CITY",,,,,,,,,,,,Active
 R5_91,TIGAON INFIRMARY SCHOOL,University / Schools,,,Accounts Receivable,0,30,"TIGAON, CAMARINES SUR",,,,,,,,roxie_cee@ymail.com,,,,Active
 R5_92,TRULAB LABORATORY AND DIAGNOSTIC CENTER,Free Standing Laboratory,,,Accounts Receivable,221959280001,30,"WINWIN MALL, Roxas Avenue, Diversion Road,Triangulo, Naga City",,,,,,,,,,,,Active
 R5_93,TWIN HEARTS DIAGNOSTIC LABORATORY,Free Standing Laboratory,,,Accounts Receivable,351105346001,30,"J. REYES ST., TALISAY, SORSOGON CITY",,,,,,,,,,,,Active
 R5_94,UNIVERSIDAD DE STA. ISABEL DE NAGA INC.,University / Schools,,,Accounts Receivable,417226790001,30,Elias Angeles St. Naga City,,,,,,,,,,,,Active
 R5_95,UNIVERSIDAD DE STA. ISABEL DE NAGA INC.(USI-HSD),Private Hospital,,,Accounts Receivable,417226790001,30,"Roxas Avenue, Diversion Road, Naga City",,,,,,,,,,,,Active
 R5_96,UNIVERSITY OF STO. TOMAS-LEGAZPI INC.e,Private Hospital,,,Accounts Receivable,60000,30,"Legazpi City, Albay",,,,,,,,,,,,Active
 R5_97,VALERA PEÑA MEDICAL CLINIC ,Free Standing Laboratory,,,Accounts Receivable,157299473000,30,"Rosario, La Union",,,,,,,,,,,,Active
 R5_98,VILLANUEVA-TANCHULING MATERNITY AND GENERAL HOSPITAL,Private Hospital,,,Accounts Receivable,0,30,"SAN JOSE, IRIGA CITY, CAMARINES SUR",,,,,,,,,,,,Active
 R5_99,VIZCONN DIAGNOSTIC LABORATORY,Free Standing Laboratory,,,Accounts Receivable,943963270001,30,Vinzon St. Legazpi City Alba,,,,,0966 855 5823,,,,,,,Active
 R6_01,BIOSPECTRA MARKETING,Dealer /  Distributor,,,Accounts Receivable,191-761-192-000,30,2F MC BLDG JALANDONI EXT MANDURRIAO ILOILO CITY,,,,,0917-887-7043,033-3331447,,biospectrapharmacist@gmail.com,,,,Active
 R6_02,"ALTAMEDICA, INC.",Dealer /  Distributor,,,Accounts Receivable,000-000-036-000,30,"2ND FLR. MASONIC TEMPLE BLDG., PLAZA LIBERTAD, J.M. BASA ST., ILOILO CITY",,,,,0938-262-1208,Ms. Jeanen Pearl G. Muya,,altapurchasing@gmail.com,,,,Active
 R7_01,NORTHCARE DIAGNOSTICS,Free Standing Laboratory,,,Accounts Receivable,000-000-000-000,30,CEDAVILLE RESIDENCES KALUBIHAN TALAMBAN CEBU CITY,,,,,,,,,,,,Active
R5_100,ZONE MEDICAL AND INTERVENTION HOSPITAL INC.,Private Hospital,,,,472-417-450-000,30,"BINATAGAN, LIGAO CITY, ALBAY",,,,,,,,,,,,Active
R4A_02,5TH MEDICAL SUPPLY TRADING ,,,,,249-665-378-000,30,LOT 3 BLK 27 MARIGOLD ST. GREEN ESTATE MALAGASANG I-G IMUS CAVITE,,,,,,,,,,,,Active
NCR_39,ST. PETER PAUL MEDICAL CLINIC,,,,,,30,"ZONE D72, 1182 GREY ST., ERMITA MANILA",,,,,,,,,,,,Active
NCR_40,SUPERCARE MEDICAL SERVICES INC.,,,,,,30,ERMITA MANILA,,,,,,,,,,,,Active
R4A_03,MDN NOVOHEALTH CORPORATION,,,,,,30,"BLK 10 LOT 15 SOUTH CITY DRIVE CORNER DALE ST., SOUTH CITY HOMES SANTO TOMAS BIÑAN LAGUNA",,,,,,,,,,,,Active
R4A_04,UPLAND SPECIALTY DIAGNOSTIC CLINICS,,,,,,30,J.P RIZAL ST. MENDEZ,,,,,,,,,,,,Active
 R4_65,GILCARE DIAGNOSTIC CLINIC,,,,,209-200-415-000,30,ROOM 202 #132 KALAYAAN AVE. BRGY. CENTRAL QUEZON CITY,,,,,,,,,,,,Active
NCR_41,HMICARE CLINIC AND DIANGNOSTIC CENTER INC.,,,,,008-713-778-00002,30,"1152 CHINO ROCES AVENUE, MAKATI CITY",,,,,,,,,,,,Active
R4A_05,ALPHA CARE MEDICAL LABORATORY,,,,,719-574-015-00001,30,B2 L4 JENLIGTTE BLDG. B21 L10 GRANDVALLEY MAHABANG PARANG ANGONO RIZAL,,,,,,,,,,,,Active
NCR_42,APOLLO MEDICA TRADING CORPORATION,,,,,689-004-474-00000,30,"5515, DM RIVERA, POBLACION MAKATI CITY 1210",,,,,,,,,,,,Active
R10_01,RBJ COMMODITIES TRADING EXPONENT,,,,,688-770-981-00000,30,11TH 30TH STS. NAZARETH CITY OF CAGAYAN DE ORO MISAMIS ORIENTAL 9000,,,,,,,,,,,,Active
 R4_66,MANILA MED,,,,,404-778-954-00004,30,850 UNITED NATIONS AVE. PACO MANILA,,,,,,,,,,,,Active
NCR_43,FEDEL MUNDO MEDICAL CENTER,,,,,,30,1 BANAWE ST. QUEZON CIY,,,,,,,,,,,,Active
R4A_06,HMICARE INC.,,,,,,30,5 Cez Space Hub Construction and Development Antero Soriano Highway Cor Epza Bacao Rd. City og General Trias Cavite,,,,,,,,,,,,Active
R4A_07,WENRRY MEDICAL LABORATORY,,,,,,30,"PASONG LANGKA, SILANG CAVITE",,,,,,,,,,,,Active
NCR_44,HEALTHHAVEN DIAGNOSTIC SUPPLIES INC.,,,,,,30,011 (A) 12 DE JUNO STREET BACLARAN PARANAQUE CITY,,,,,,,,,,,,Active
NCR_45,SMART CLINIQUE MEDICAL INC.,,,,,,30,LOT 106 BLK 53 BLUEMINTRIT ST. RIZAL PARK SUBD. BRGY. 515 SAMPALOC MANILA,,,,,,,,,,,,Active
 R11_05,MEDHEALTH LABORATORY AND DIAGNOSTIC CENTER,,,,,230-045-843-0000,30,1ST CRUMB STREET ZONE 1 8002 CITY OF DIGOS DAVAO DEL SUR,,,,,,,,,,,,Active
R4A_08,ST. ANGELO'S MULTISPECIALIST AND DIAGNOSTIC CENTER,,,,,,30,"74 MALVAR ST., SAN VICENTE, BIÑAN, LAGUNA",,,,,,,,,,,,Active
NCR_46,ONEMED DIAGNOSTICS SUPPLIES INC.,,,,,009-812-380-000,30,262-A UNIT E SECOND FLOOR QUIRINO AVE. BACLARAN CITY PARANAQUE,,,,,,,,,,,,Active
R4A_09,OUR LADY OF PIAT LABORATORY (LIPA),,,,,226-299-905-004,30,LIPA BATANGAS,,,,,,,,,,,,Active
R4A_10,TANAUAN DRUG TESTING AND DIAGNOSTIC,,,,,614-297-100,30,TANAUAN BATANGAS CENTER,,,,,,,,,,,,Active
